frame,vehicle,raw,trimmed,curved,demand,speed,selector,curve
177,1,0,0,0,0,53,3,A
178,1,0,0,0,0,54,3,A
179,1,0,0,0,0,55,3,A
180,1,0,0,0,0,56,3,A
181,1,0,0,0,0,57,3,A
182,1,0,0,0,0,59,3,A
183,1,0,0,0,0,60,3,A
184,1,0,0,0,0,61,3,A
185,1,0,0,0,0,62,3,A
186,1,0,0,0,0,62,3,A
187,1,0,0,0,0,63,3,A
188,1,0,0,0,0,64,3,A
189,1,0,0,0,0,65,3,A
190,1,0,0,0,0,66,3,A
191,1,0,0,0,0,67,3,A
192,1,0,0,0,0,68,3,A
193,1,0,0,0,0,69,3,A
194,1,0,0,0,0,70,3,A
195,1,0,0,0,0,71,3,A
196,1,0,0,0,0,72,3,A
197,1,0,0,0,0,73,3,A
198,1,0,0,0,0,74,3,A
199,1,0,0,0,0,75,3,A
200,1,0,0,0,0,76,3,A
201,1,0,0,0,0,76,3,A
202,1,0,0,0,0,77,3,A
203,1,0,0,0,0,78,3,A
204,1,0,0,0,0,79,3,A
205,1,0,0,0,0,80,3,A
206,1,0,0,0,0,81,3,A
207,1,0,0,0,0,82,3,A
208,1,0,0,0,0,83,3,A
209,1,0,0,0,0,84,3,A
210,1,0,0,0,0,87,3,A
211,1,0,0,0,0,89,3,A
212,1,0,0,0,0,90,3,A
213,1,0,0,0,0,91,3,A
214,1,0,0,0,0,91,3,A
215,1,0,0,0,0,92,3,A
216,1,0,0,0,0,93,3,A
217,1,0,0,0,0,93,3,A
218,1,0,0,0,0,94,3,A
219,1,0,0,0,0,95,3,A
220,1,0,0,0,0,95,3,A
221,1,0,0,0,0,96,3,A
222,1,0,0,0,0,97,3,A
223,1,0,0,0,0,97,3,A
224,1,0,0,0,0,98,3,A
225,1,0,0,0,0,99,3,A
226,1,0,0,0,0,99,3,A
227,1,0,0,0,0,100,3,A
228,1,0,0,0,0,101,3,A
229,1,0,0,0,0,101,3,A
230,1,0,0,0,0,102,3,A
231,1,0,0,0,0,103,3,A
232,1,0,0,0,0,103,3,A
233,1,0,0,0,0,104,3,A
234,1,0,0,0,0,105,3,A
235,1,0,0,0,0,105,3,A
236,1,0,0,0,0,106,3,A
