frame,vehicle,raw,trimmed,curved,demand,speed,selector,curve
479,1,0,0,0,0,100,0,B
480,1,0,0,0,0,101,0,B
481,1,0,0,0,0,102,0,B
482,1,0,0,0,0,103,0,B
483,1,0,0,0,0,104,0,B
484,1,0,0,0,0,105,0,B
485,1,0,0,0,0,106,0,B
486,1,0,0,0,0,107,0,B
487,1,0,0,0,0,108,0,B
488,1,0,0,0,0,109,0,B
489,1,0,0,0,0,110,0,B
490,1,0,0,0,0,111,0,B
491,1,0,0,0,0,111,0,B
492,1,0,0,0,0,112,0,B
493,1,0,0,0,0,113,0,B
494,1,0,0,0,0,114,0,B
495,1,0,0,0,0,115,0,B
496,1,0,0,0,0,116,0,B
497,1,0,0,0,0,117,0,B
498,1,0,0,0,0,118,0,B
499,1,0,0,0,0,119,0,B
500,1,0,0,0,0,120,0,B
501,1,0,0,0,0,121,0,B
502,1,0,0,0,0,121,0,B
503,1,0,0,0,0,122,0,B
504,1,0,0,0,0,123,0,B
505,1,0,0,0,0,124,0,B
506,1,0,0,0,0,125,0,B
507,1,0,0,0,0,126,0,B
508,1,0,0,0,0,127,0,B
509,1,0,0,0,0,128,0,B
510,1,0,0,0,0,128,0,B
511,1,0,0,0,0,129,0,B
512,1,0,0,0,0,130,0,B
513,1,0,0,0,0,131,0,B
514,1,0,0,0,0,132,0,B
515,1,0,0,0,0,133,0,B
516,1,0,0,0,0,134,0,B
517,1,0,0,0,0,134,0,B
518,1,0,0,0,0,135,0,B
519,1,0,0,0,0,136,0,B
520,1,0,0,0,0,137,0,B
521,1,0,0,0,0,138,0,B
522,1,0,0,0,0,139,0,B
523,1,0,0,0,0,140,0,B
524,1,0,0,0,0,140,0,B
525,1,0,0,0,0,141,0,B
526,1,0,0,0,0,142,0,B
527,1,0,0,0,0,143,0,B
528,1,0,0,0,0,143,0,B
529,1,0,0,0,0,144,0,B
530,1,0,0,0,0,144,0,B
531,1,0,0,0,0,145,0,B
532,1,0,0,0,0,108,0,B
533,1,0,0,0,0,105,0,B
